probe	group	case	expected	observed	status
schema	serialization	no schema key at all means schema 1	a dictionary this version did not write is read safely and written back without loss	the first version wrote no schema key, and its documents must keep rendering; rendered 269.282 pt wide in 1,49 s, expected 269.282 pt	PASS
schema	serialization	a schema number from a later version still renders	a dictionary this version did not write is read safely and written back without loss	an unknown schema is not a reason to refuse to draw; the two angles mean what they have always meant; rendered 269.282 pt wide in 2,81 s, expected 269.282 pt	PASS
schema	serialization	a nonsense schema number still renders	a dictionary this version did not write is read safely and written back without loss	nothing about the number changes what the angles mean here; rendered 269.282 pt wide in 1,56 s, expected 269.282 pt	PASS
schema	serialization	no shear angle means no shear	a dictionary this version did not write is read safely and written back without loss	the default is zero, and zero is the identity; rendered 200 pt wide in 3,69 s, expected 200 pt	PASS
schema	serialization	no axis angle means the horizontal axis	a dictionary this version did not write is read safely and written back without loss	the default axis is zero, which is the shear the fixture already has; rendered 269.282 pt wide in 3,63 s, expected 269.282 pt	PASS
schema	serialization	a shear angle stored as text is refused	a dictionary this version did not write is read safely and written back without loss	reading a real out of a string entry fails, and a failed read leaves the default; rendered 200 pt wide in 3,75 s, expected 200 pt	PASS
schema	serialization	an axis angle stored as text is refused	a dictionary this version did not write is read safely and written back without loss	same, and the default axis is zero; rendered 269.282 pt wide in 3,48 s, expected 269.282 pt	PASS
schema	serialization	a shear angle stored as a flag is refused	a dictionary this version did not write is read safely and written back without loss	the type is wrong, so the default stands; rendered 200 pt wide in 3,41 s, expected 200 pt	PASS
schema	serialization	an empty parameter block is the identity	a dictionary this version did not write is read safely and written back without loss	every key absent is every default, and the defaults are zero; rendered 200 pt wide in 3,54 s, expected 200 pt	PASS
schema	serialization	a later version's extra keys survive the dialog writing the block back	a dictionary this version did not write is read safely and written back without loss	referencePoint kept, somethingElse kept after the plugin itself rewrote the block through the dialog	PASS
schema	serialization	the block records which version last wrote it	a dictionary this version did not write is read safely and written back without loss	shearSchema is 1 after this version wrote it, which is this version's number: the block says what it means rather than what it used to mean	PASS
