probe	group	case	expected	observed	status
blend	blend	straight down the middle: Illustrator calls the interpolation handler	the interpolation handler runs and takes the short way round modulo 180	the handler ran 1 time(s) while the blend was built; 4 objects after expanding	PASS
blend	blend	straight down the middle: every step takes the short way round	the interpolation handler runs and takes the short way round modulo 180	t=0.5 -> axis 20; the two ends are 40 degrees apart going the short way, and every step is inside that. A naive midpoint would have given 20.	PASS
blend	blend	straight down the middle: the shear angle is a straight line between the two	the interpolation handler runs and takes the short way round modulo 180	all 1 steps are exactly on the line from 30 to 10	PASS
blend	blend	0 to 179 the short way: Illustrator calls the interpolation handler	the interpolation handler runs and takes the short way round modulo 180	the handler ran 1 time(s) while the blend was built; 4 objects after expanding	PASS
blend	blend	0 to 179 the short way: every step takes the short way round	the interpolation handler runs and takes the short way round modulo 180	t=0.5 -> axis 179.5; the two ends are 1 degrees apart going the short way, and every step is inside that. A naive midpoint would have given 89.5.	PASS
blend	blend	0 to 179 the short way: the shear angle is a straight line between the two	the interpolation handler runs and takes the short way round modulo 180	all 1 steps are exactly on the line from 20 to 20	PASS
blend	blend	1 to 179 across zero: Illustrator calls the interpolation handler	the interpolation handler runs and takes the short way round modulo 180	the handler ran 1 time(s) while the blend was built; 4 objects after expanding	PASS
blend	blend	1 to 179 across zero: every step takes the short way round	the interpolation handler runs and takes the short way round modulo 180	t=0.5 -> axis 180; the two ends are 2 degrees apart going the short way, and every step is inside that. A naive midpoint would have given 90.	PASS
blend	blend	1 to 179 across zero: the shear angle is a straight line between the two	the interpolation handler runs and takes the short way round modulo 180	all 1 steps are exactly on the line from 20 to 20	PASS
blend	blend	89 to -89 across ninety: Illustrator calls the interpolation handler	the interpolation handler runs and takes the short way round modulo 180	the handler ran 1 time(s) while the blend was built; 4 objects after expanding	PASS
blend	blend	89 to -89 across ninety: every step takes the short way round	the interpolation handler runs and takes the short way round modulo 180	t=0.5 -> axis -90; the two ends are 2 degrees apart going the short way, and every step is inside that. A naive midpoint would have given 0.	PASS
blend	blend	89 to -89 across ninety: the shear angle is a straight line between the two	the interpolation handler runs and takes the short way round modulo 180	all 1 steps are exactly on the line from 20 to 20	PASS
