probe	group	case	expected	observed	status
artwork-anchor	reference point by artwork	plainRect, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	plainRect, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	strokedRect, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	strokedRect, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	spike, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	spike, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	bezier, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	bezier, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	openPath, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	openPath, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	compound, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	compound, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	selfIntersecting, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	selfIntersecting, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	mixedGroup, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	mixedGroup, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	nestedGroup, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	nestedGroup, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	clipGroup, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	clipGroup, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	transformedGroup, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	transformedGroup, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	pointText, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	pointText, axis 90	the effect and the native command anchor in the same place	the two agree to 0.000244 pt	PASS
artwork-anchor	reference point by artwork	areaText, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	areaText, axis 90	the effect and the native command anchor in the same place	the two agree to 0.000244 pt	PASS
artwork-anchor	reference point by artwork	multilineText, axis 0	the effect and the native command anchor in the same place	the two agree to 0.000732 pt	PASS
artwork-anchor	reference point by artwork	multilineText, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	strokedText, axis 0	the effect and the native command anchor in the same place	the two results differ by more than a translation: the two horizontal edges disagree by 0.465332 pt and the vertical edges moved by 0.402832 pt, so the difference is in what was transformed rather than in where it was anchored. Illustrator regenerates this artwork from the path, so the two routes cannot agree and Adobe's own effect does not agree with Adobe's own command either	EXPECTED
artwork-anchor	reference point by artwork	strokedText, axis 90	the effect and the native command anchor in the same place	the two results differ by more than a translation: the two vertical edges disagree by 0.464355 pt and the horizontal edges moved by 0.402344 pt, so the difference is in what was transformed rather than in where it was anchored. Illustrator regenerates this artwork from the path, so the two routes cannot agree and Adobe's own effect does not agree with Adobe's own command either	EXPECTED
artwork-anchor	reference point by artwork	asymmetricText, axis 0	the effect and the native command anchor in the same place	the two agree to 0.000732 pt	PASS
artwork-anchor	reference point by artwork	asymmetricText, axis 90	the effect and the native command anchor in the same place	the two agree to 0.000244 pt	PASS
artwork-anchor	reference point by artwork	retypedText, axis 0	the effect and the native command anchor in the same place	the two agree to 0.000244 pt	PASS
artwork-anchor	reference point by artwork	retypedText, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	resizedText, axis 0	the effect and the native command anchor in the same place	the two agree to 0.000977 pt	PASS
artwork-anchor	reference point by artwork	resizedText, axis 90	the effect and the native command anchor in the same place	the two agree to 0.000244 pt	PASS
artwork-anchor	reference point by artwork	symbolInstance, axis 0	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	symbolInstance, axis 90	the effect and the native command anchor in the same place	the two agree to 0 pt	PASS
artwork-anchor	reference point by artwork	calligraphicBrush, axis 0	the effect and the native command anchor in the same place	the two results differ by more than a translation: the two horizontal edges disagree by 0.756859 pt and the vertical edges moved by 0.024626 pt, so the difference is in what was transformed rather than in where it was anchored. Illustrator regenerates this artwork from the path, so the two routes cannot agree and Adobe's own effect does not agree with Adobe's own command either	EXPECTED
