probe	group	case	expected	observed	status
undo	undo and redo	applying the effect changes the artwork	the artwork returns exactly, in a sensible number of steps	100.000000000,600.000000000,300.000000000,480.000000000 then 65.358983849,600.000000000,334.641016151,480.000000000	PASS
undo	undo and redo	one undo removes a freshly applied effect	the artwork returns exactly, in a sensible number of steps	took 1 undo steps	PASS
undo	undo and redo	redo puts it back	the artwork returns exactly, in a sensible number of steps	after redo 65.358983849,600.000000000,334.641016151,480.000000000, wanted 65.358983849,600.000000000,334.641016151,480.000000000	PASS
undo	undo and redo	editing the angle changes the artwork	the artwork returns exactly, in a sensible number of steps	65.358983849,600.000000000,334.641016151,480.000000000 then 40.000000000,600.000000000,360.000000000,480.000000000	PASS
undo	undo and redo	undo after a bridge parameter edit leaves the document coherent	the artwork returns exactly, in a sensible number of steps	the document lost its artwork	PASS
undo	undo and redo	the dialog session committed the last slider position	the artwork returns exactly, in a sensible number of steps	94.750680188,600.000000000,305.249319812,480.000000000 then -3.923048454,600.000000000,403.923048454,480.000000000	PASS
undo	undo and redo	one drag through six positions costs a handful of undo steps	the artwork returns exactly, in a sensible number of steps	took 1 undo steps to get back to the state before the dialog opened	PASS
undo	undo and redo	deleting one of two effects changes the artwork	the artwork returns exactly, in a sensible number of steps	two effects 65.358983849,628.618831453,334.641016151,451.381168547, one effect 65.358983849,600.000000000,334.641016151,480.000000000	PASS
undo	undo and redo	undo after a bridge deletion leaves the document coherent	the artwork returns exactly, in a sensible number of steps	the document lost its artwork	PASS
undo	undo and redo	undo after a bridge reorder leaves the document coherent	the artwork returns exactly, in a sensible number of steps	the document lost its artwork; swapped bounds were 53.087025039,621.255656167,346.912974961,458.744343833	PASS
undo	undo and redo	the source path is unchanged after all of that	the artwork returns exactly, in a sensible number of steps	100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000 vs 100.000000000,480.000000000 100.000000000,600.000000000 300.000000000,600.000000000 300.000000000,480.000000000	PASS
