probe	group	case	expected	observed	status
menu	menu placement	the item is on the Effect menu, not in a submenu	the group is Effects 3rd Party	the group is 'Effects 3rd Party'	PASS
menu	menu placement	no submenu of its own has come back	no group named Live 3rd Party...	the group is 'Effects 3rd Party'	PASS
menu	menu placement	it is not inside one of Adobe's own submenus	no group named Live Vector... -- that placement breaks Apply Last Effect	the group is 'Effects 3rd Party'	PASS
menu	menu placement	the item still reads Shear...	Shear...	Shear...	PASS
menu	choosing it	the command string reaches the item	one dialog opens	dialogs: 1; opened with shear '0.0', axis '0.0', selected Horizontal	PASS
menu	choosing it	choosing it applies exactly one Shear	one Shear effect on the object	1 Shear effect(s)	PASS
menu	Apply Last Effect	Apply Last Effect reapplies it to another object	one Shear effect on the second object	1 Shear effect(s); the command returned	PASS
menu	the values used last	a new Shear opens with the angle committed last	the first pick opened at 0.0 with nothing remembered and committed 20.0; the next opens at 20.0	first pick: the dialog opened reading 0.0 along 0.0 with Horizontal selected; the object holds 1 Shear effect(s), at 20 along 0. Second pick: the dialog opened reading 20.0 along 0.0 with Horizontal selected; the object holds 1 Shear effect(s), at 20 along 0	PASS
menu	the values used last	Illustrator itself hands a new Shear the defaults, which is why the plugin remembers	with the plugin's memory forgotten, the dialog opens at 0.0 along 0.0, though the effect was just applied at another angle	the dialog opened reading 0.0 along 0.0 with Horizontal selected; the object holds 1 Shear effect(s), at 0 along 0	PASS
menu	the values used last	and with the axis button used last	after committing 15.0 along Vertical, the next new Shear opens at 15.0 with Vertical selected	committed: the dialog opened reading 0.0 along 0.0 with Horizontal selected; the object holds 1 Shear effect(s), at 15 along 90. Next pick: the dialog opened reading 15.0 along 90.0 with Vertical selected; the object holds 1 Shear effect(s), at 15 along 90	PASS
menu	the values used last	a canceled dialog is not remembered	a dialog moved to 35.0 and canceled leaves no effect, and the next still opens at 15.0 along Vertical	canceled: the dialog opened reading 15.0 along 90.0 with Vertical selected; the object holds 0 Shear effect(s), at NaN along NaN. Next pick: the dialog opened reading 15.0 along 90.0 with Vertical selected; the object holds 1 Shear effect(s), at 15 along 90	PASS
