probe	group	case	expected	observed	status
generated-art	generated artwork	patternBrush: does a live effect match the destructive command?	whatever Adobe's own Transform effect does on the same artwork	Adobe's Transform effect differs from the destructive command by 1,276 % of sampled pixels; Adobe's own effect does not match its own command either: this artwork is regenerated when the path is transformed	MEASURED
generated-art	generated artwork	artBrush: does a live effect match the destructive command?	whatever Adobe's own Transform effect does on the same artwork	Adobe's Transform effect differs from the destructive command by 0,167 % of sampled pixels; Adobe's own effect does not match its own command either: this artwork is regenerated when the path is transformed	MEASURED
generated-art	generated artwork	calligraphicBrush: does a live effect match the destructive command?	whatever Adobe's own Transform effect does on the same artwork	Adobe's Transform effect differs from the destructive command by 0,220 % of sampled pixels; Adobe's own effect does not match its own command either: this artwork is regenerated when the path is transformed	MEASURED
generated-art	generated artwork	strokedText: does a live effect match the destructive command?	whatever Adobe's own Transform effect does on the same artwork	Adobe's Transform effect differs from the destructive command by 0,000 % of sampled pixels; the two routes agree, so this artwork is not regenerated	MEASURED
generated-art	generated artwork	strokedRect: does a live effect match the destructive command?	whatever Adobe's own Transform effect does on the same artwork	Adobe's Transform effect differs from the destructive command by 0,000 % of sampled pixels; the two routes agree, so this artwork is not regenerated	MEASURED
generated-art	generated artwork	plainRect: does a live effect match the destructive command?	whatever Adobe's own Transform effect does on the same artwork	Adobe's Transform effect differs from the destructive command by 0,000 % of sampled pixels; the two routes agree, so this artwork is not regenerated	MEASURED
generated-art	generated artwork	patternBrush: does a horizontal shear change the vertical extent?	a shear along x leaves y alone, so any vertical movement came from somewhere else	the effect moved the top or bottom by 0 pt, the destructive command by 2.19538 pt; the effect kept the shear exact; the destructive command regenerated the artwork around the sheared outline	PASS
generated-art	generated artwork	artBrush: does a horizontal shear change the vertical extent?	a shear along x leaves y alone, so any vertical movement came from somewhere else	the effect moved the top or bottom by 0 pt, the destructive command by 1.045654 pt; the effect kept the shear exact; the destructive command regenerated the artwork around the sheared outline	PASS
generated-art	generated artwork	calligraphicBrush: does a horizontal shear change the vertical extent?	a shear along x leaves y alone, so any vertical movement came from somewhere else	the effect moved the top or bottom by 0 pt, the destructive command by 0.024626 pt; the effect kept the shear exact; the destructive command regenerated the artwork around the sheared outline	PASS
generated-art	generated artwork	strokedText: does a horizontal shear change the vertical extent?	a shear along x leaves y alone, so any vertical movement came from somewhere else	the effect moved the top or bottom by 0 pt, the destructive command by 0.402832 pt; the effect kept the shear exact; the destructive command regenerated the artwork around the sheared outline	PASS
generated-art	generated artwork	strokedRect: does a horizontal shear change the vertical extent?	a shear along x leaves y alone, so any vertical movement came from somewhere else	the effect moved the top or bottom by 0 pt, the destructive command by 0 pt; neither route regenerates anything here	PASS
generated-art	generated artwork	plainRect: does a horizontal shear change the vertical extent?	a shear along x leaves y alone, so any vertical movement came from somewhere else	the effect moved the top or bottom by 0 pt, the destructive command by 0 pt; neither route regenerates anything here	PASS
